refuge,predator,prey density,alive,eaten,R
mid ,Gp,3,2,1,1.15740740740741E-05
mid,Gp,4,1,3,3.47222222222222E-05
mid,Gp,4,4,0,0
mid,Gp,4,3,1,1.15740740740741E-05
mid ,Gp,4,3,1,1.15740740740741E-05
mid,Gp,5,3,2,2.31481481481481E-05
mid,Gp,5,4,1,1.15740740740741E-05
mid,Gp,5,5,0,0
mid ,Gp,5,4,1,1.15740740740741E-05
mid,Gp,5,2,4,4.62962962962963E-05
mid,Gp,6,2,4,4.62962962962963E-05
mid,Gp,6,3,3,3.47222222222222E-05
mid ,Gp,6,5,1,1.15740740740741E-05
mid,Gp,7,4,3,3.47222222222222E-05
mid,Gp,7,5,2,2.31481481481481E-05
mid,Gp,7,3,4,4.62962962962963E-05
mid ,Gp,7,3,4,4.62962962962963E-05
mid,Gp,8,1,7,8.10185185185185E-05
mid,Gp,8,3,5,5.78703703703704E-05
mid,Gp,8,6,2,2.31481481481481E-05
mid ,Gp,8,2,6,6.94444444444444E-05
mid,Gp,15,12,3,3.47222222222222E-05
mid,Gp,15,9,6,6.94444444444444E-05
mid,Gp,15,9,6,6.94444444444444E-05
mid ,Gp,15,8,7,8.10185185185185E-05
mid,Gp,25,23,2,2.31481481481481E-05
mid,Gp,25,23,2,2.31481481481481E-05
mid,Gp,25,12,13,0.000150462962963
mid ,Gp,25,15,10,0.000115740740741
mid,Gp,40,27,13,0.000150462962963
mid,Gp,40,28,12,0.000138888888889
mid,Gp,40,37,3,3.47222222222222E-05
mid ,Gp,40,30,10,0.000115740740741
lo,Gp,1,0,1,1.15740740740741E-05
lo,Gp,1,0,1,1.15740740740741E-05
lo,Gp,1,0,1,1.15740740740741E-05
lo,Gp,1,0,1,1.15740740740741E-05
lo,Gp,2,0,2,2.31481481481481E-05
lo,Gp,2,0,2,2.31481481481481E-05
lo,Gp,2,1,1,1.15740740740741E-05
lo,Gp,2,1,1,1.15740740740741E-05
lo,Gp,3,0,3,3.47222222222222E-05
lo,Gp,3,0,3,3.47222222222222E-05
lo,Gp,3,0,3,3.47222222222222E-05
lo,Gp,3,1,2,2.31481481481481E-05
lo,Gp,4,1,3,3.47222222222222E-05
lo,Gp,4,0,4,4.62962962962963E-05
lo,Gp,4,0,4,4.62962962962963E-05
lo,Gp,4,1,3,3.47222222222222E-05
lo,Gp,5,0,5,5.78703703703704E-05
lo,Gp,5,0,5,5.78703703703704E-05
lo,Gp,5,1,4,4.62962962962963E-05
lo,Gp,5,1,4,4.62962962962963E-05
lo,Gp,6,2,4,4.62962962962963E-05
lo,Gp,6,1,5,5.78703703703704E-05
lo,Gp,6,4,2,2.31481481481481E-05
lo,Gp,6,0,6,6.94444444444444E-05
lo,Gp,7,2,5,5.78703703703704E-05
lo,Gp,7,3,4,4.62962962962963E-05
lo,Gp,7,4,3,3.47222222222222E-05
lo,Gp,7,1,6,6.94444444444444E-05
lo,Gp,8,4,4,4.62962962962963E-05
