Pen	BirdID	SeedDen	Habitat	FeedRate	Hx	Hc	Ht	ProVig	DurVig	SearchTime	FreqVig	Date	Time	Sex
1	RL	50	BareSoil	1.337	0.305	0.207	0.512	0.424	1.133	1.45	0.128	27/10/2008	13	F
1	RR	50	BareSoil	1.331	0.377	0.277	0.654	0.043	0.2	0.18	0.267	27/10/2008	10	F
1	RRBL	50	BareSoil	0.675	0.487	0.61	1.097	0.478	1.479	0.288	0.346	27/10/2008	10	M
2	BL	50	BareSoil	1.174	0.271	0.876	1.147	0.075	0.233	1.11	0.316	27/10/2008	13	F
2	BR	50	BareSoil	0.979	0.307	0.82	1.127	0.101	0.32	0.85	0.297	27/10/2008	13	F
2	RL	50	BareSoil	1.337	0.303	0.56	0.863	0.188	0.643	0.564	0.292	12/11/2008	10	M
2	RR	50	BareSoil	1.391	0.307	0.277	0.584	0.292	1.043	0.607	0.28	12/11/2008	10	M
2	RRBL	50	BareSoil	0.646	0.569	0.721	1.29	0.166	0.557	0.712	0.299	12/11/2008	10	M
3	BL	50	BareSoil	0.205	0.473	1.66	2.133	0.167	0.866	1.94	0.235	24/10/2008	9	F
3	BR	50	BareSoil	0.71	0.372	0.618	0.99	0.06	0.253	0.418	0.193	19/11/2008	12	M
3	RL	50	BareSoil	0.816	0.384	0.373	0.757	0.131	0.32	0.176	0.408	19/11/2008	12	M
3	RR	50	BareSoil	0.41	0.335	1.418	1.753	0.02	0.24	0.486	0.082	19/11/2008	12	M
3	RRBL	50	BareSoil	0.39	0.54	0.785	1.325	0.335	0.876	0.348	0.382	19/11/2008	12	M
4	BL	50	BareSoil	0.33	0.494	0.668	1.162	0.02	0.24	0.64	0.308	24/10/2008	10	F
4	BR	50	BareSoil	0.564	0.533	0.759	1.292	0.107	0.348	0.632	0.082	12/11/2008	9	M
4	RL	50	BareSoil	0.863	0.345	0.512	0.857	0.144	0.683	0.463	0.197	12/11/2008	9	F
4	RR	50	BareSoil	0.932	0.281	0.136	0.417	0.091	0.173	0.27	0.525	24/10/2008	10	F
4	RRBL	50	BareSoil	0.229	0.657	1.268	1.925	0	0	0.875	0	24/10/2008	10	F
1	BL	100	BareSoil	1.043	0.338	0.41	0.748	0.126	0.217	0.449	0.499	18/11/2008	9	M
1	BR	100	BareSoil	0.602	0.246	0.482	0.728	0.259	0.43	0.373	0.602	18/11/2008	9	F
1	RL	100	BareSoil	1.091	0.282	0.372	0.654	0.075	0.2	0.261	0.313	18/11/2008	9	F
1	RR	100	BareSoil	2.113	0.191	0.356	0.547	0.019	0.12	0.151	0.16	18/11/2008	9	F
1	RRBL	100	BareSoil	0.559	0.233	0.576	0.809	0.086	0.46	0.715	0.186	18/11/2008	9	M
2	BL	100	BareSoil	0.949	0.457	0.596	1.053	0.106	0.52	0.16	0.204	24/10/2008	11	F
2	BR	100	BareSoil	0.511	0.243	0.552	0.795	0.258	0.668	0.351	0.423	24/10/2008	11	F
2	RL	100	BareSoil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M
2	RR	100	BareSoil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M
2	RRBL	100	BareSoil	0.46	0.345	0.48	0.825	0.126	0.367	0.351	0.344	24/10/2008	11	M
3	BL	100	BareSoil	0.313	0.332	0.396	0.728	0.317	0	0.545	0	29/10/2008	13	F
3	BR	100	BareSoil	1.2	0.281	0.458	0.739	0.033	0.4	0.203	0.074	29/10/2008	13	M
3	RL	100	BareSoil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M
3	RR	100	BareSoil	1.167	0.371	0.395	0.766	0.112	0	0.13	0.317	29/10/2008	13	M
3	RRBL	100	BareSoil	0.728	0.408	0.572	0.98	0.419	0.352	0.463	0.33	29/10/2008	13	M
4	BL	100	BareSoil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F
4	BR	100	BareSoil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M
4	RL	100	BareSoil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F
4	RR	100	BareSoil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F
4	RRBL	100	BareSoil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F
1	BL	200	BareSoil	0.717	0.359	0.44	0.799	0.169	0.378	0.51	0.239	29/10/2008	13	M
1	BR	200	BareSoil	1.048	0.305	0.192	0.497	0.052	0.15	0.169	0.327	29/10/2008	13	F
1	RL	200	BareSoil	0.952	0.404	0.348	0.752	0.14	0.44	0.14	0.317	29/10/2008	13	F
1	RR	200	BareSoil	1.667	0.214	0.193	0.407	0.108	0.26	0.067	0.417	29/10/2008	13	F
1	RRBL	200	BareSoil	1.22	0.253	0.187	0.44	0.199	0.456	0.12	0.436	29/10/2008	13	M
2	BL	200	BareSoil	0.659	0.369	0.441	0.81	0.288	0.466	0.095	0.586	28/10/2008	11	F
2	BR	200	BareSoil	0.923	0.335	0.265	0.6	0.04	0.24	0.532	0.168	28/10/2008	11	F
2	RL	200	BareSoil	0.82	0.322	0.359	0.681	0.169	0.62	0.127	0.273	28/10/2008	11	M
